instruction,input,output,specialty_key
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa defisiensi gizi dan juga malnutrisi.",Keluhan ini termasuk dalam kategori Gizi Klinik. Anda disarankan berkonsultasi dengan Dokter Spesialis Gizi Klinik (Sp.GK).,gizi_klinik
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa fisioterapi dan juga stroke recovery.",Keluhan ini termasuk dalam kategori Kedokteran Fisik & Rehabilitasi. Anda disarankan berkonsultasi dengan Dokter Spesialis KFR (Sp.KFR).,kedokteran_fisik
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa fisioterapi, stroke recovery dan juga rehabilitasi.",Keluhan ini termasuk dalam kategori Kedokteran Fisik & Rehabilitasi. Anda disarankan berkonsultasi dengan Dokter Spesialis KFR (Sp.KFR).,kedokteran_fisik
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa stroke recovery, fisioterapi dan juga rehabilitasi.",Keluhan ini termasuk dalam kategori Kedokteran Fisik & Rehabilitasi. Anda disarankan berkonsultasi dengan Dokter Spesialis KFR (Sp.KFR).,kedokteran_fisik
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa fisioterapi dan juga rehabilitasi.",Keluhan ini termasuk dalam kategori Kedokteran Fisik & Rehabilitasi. Anda disarankan berkonsultasi dengan Dokter Spesialis KFR (Sp.KFR).,kedokteran_fisik
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa rehabilitasi, stroke recovery dan juga fisioterapi.",Keluhan ini termasuk dalam kategori Kedokteran Fisik & Rehabilitasi. Anda disarankan berkonsultasi dengan Dokter Spesialis KFR (Sp.KFR).,kedokteran_fisik
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa rehabilitasi, fisioterapi dan juga stroke recovery.",Keluhan ini termasuk dalam kategori Kedokteran Fisik & Rehabilitasi. Anda disarankan berkonsultasi dengan Dokter Spesialis KFR (Sp.KFR).,kedokteran_fisik
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa stroke recovery dan juga rehabilitasi.",Keluhan ini termasuk dalam kategori Kedokteran Fisik & Rehabilitasi. Anda disarankan berkonsultasi dengan Dokter Spesialis KFR (Sp.KFR).,kedokteran_fisik
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tumor ganas dan juga kemoterapi.",Keluhan ini termasuk dalam kategori Onkologi Medik. Anda disarankan berkonsultasi dengan Dokter Spesialis Onkologi Medik (Sp.PD-KHOM).,onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tumor ganas dan juga kanker.",Keluhan ini termasuk dalam kategori Onkologi Medik. Anda disarankan berkonsultasi dengan Dokter Spesialis Onkologi Medik (Sp.PD-KHOM).,onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa kanker dan juga kemoterapi.",Keluhan ini termasuk dalam kategori Onkologi Medik. Anda disarankan berkonsultasi dengan Dokter Spesialis Onkologi Medik (Sp.PD-KHOM).,onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa kanker dan juga tumor ganas.",Keluhan ini termasuk dalam kategori Onkologi Medik. Anda disarankan berkonsultasi dengan Dokter Spesialis Onkologi Medik (Sp.PD-KHOM).,onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa kanker, tumor ganas dan juga kemoterapi.",Keluhan ini termasuk dalam kategori Onkologi Medik. Anda disarankan berkonsultasi dengan Dokter Spesialis Onkologi Medik (Sp.PD-KHOM).,onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tumor ganas, kanker dan juga kemoterapi.",Keluhan ini termasuk dalam kategori Onkologi Medik. Anda disarankan berkonsultasi dengan Dokter Spesialis Onkologi Medik (Sp.PD-KHOM).,onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa kemoterapi, tumor ganas dan juga kanker.",Keluhan ini termasuk dalam kategori Onkologi Medik. Anda disarankan berkonsultasi dengan Dokter Spesialis Onkologi Medik (Sp.PD-KHOM).,onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tiroidektomi dan juga reseksi tumor.",Keluhan ini termasuk dalam kategori Bedah Onkologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah Onkologi (Sp.B-KBD).,bedah_onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa mastektomi dan juga reseksi tumor.",Keluhan ini termasuk dalam kategori Bedah Onkologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah Onkologi (Sp.B-KBD).,bedah_onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tiroidektomi, reseksi tumor dan juga mastektomi.",Keluhan ini termasuk dalam kategori Bedah Onkologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah Onkologi (Sp.B-KBD).,bedah_onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tiroidektomi dan juga mastektomi.",Keluhan ini termasuk dalam kategori Bedah Onkologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah Onkologi (Sp.B-KBD).,bedah_onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa mastektomi dan juga tiroidektomi.",Keluhan ini termasuk dalam kategori Bedah Onkologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah Onkologi (Sp.B-KBD).,bedah_onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa mastektomi, tiroidektomi dan juga reseksi tumor.",Keluhan ini termasuk dalam kategori Bedah Onkologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah Onkologi (Sp.B-KBD).,bedah_onkologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa dislokasi dan juga patah tulang.",Keluhan ini termasuk dalam kategori Ortopedi & Traumatologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Ortopedi (Sp.OT).,ortopedi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa dislokasi dan juga sendi.",Keluhan ini termasuk dalam kategori Ortopedi & Traumatologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Ortopedi (Sp.OT).,ortopedi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa patah tulang, sendi dan juga dislokasi.",Keluhan ini termasuk dalam kategori Ortopedi & Traumatologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Ortopedi (Sp.OT).,ortopedi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa patah tulang dan juga sendi.",Keluhan ini termasuk dalam kategori Ortopedi & Traumatologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Ortopedi (Sp.OT).,ortopedi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa sendi dan juga dislokasi.",Keluhan ini termasuk dalam kategori Ortopedi & Traumatologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Ortopedi (Sp.OT).,ortopedi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa patah tulang dan juga dislokasi.",Keluhan ini termasuk dalam kategori Ortopedi & Traumatologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Ortopedi (Sp.OT).,ortopedi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa epilepsi, stroke dan juga migrain.",Keluhan ini termasuk dalam kategori Ilmu Penyakit Saraf. Anda disarankan berkonsultasi dengan Dokter Spesialis Saraf (Sp.S).,saraf
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa migrain, epilepsi dan juga stroke.",Keluhan ini termasuk dalam kategori Ilmu Penyakit Saraf. Anda disarankan berkonsultasi dengan Dokter Spesialis Saraf (Sp.S).,saraf
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa migrain dan juga stroke.",Keluhan ini termasuk dalam kategori Ilmu Penyakit Saraf. Anda disarankan berkonsultasi dengan Dokter Spesialis Saraf (Sp.S).,saraf
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa stroke dan juga migrain.",Keluhan ini termasuk dalam kategori Ilmu Penyakit Saraf. Anda disarankan berkonsultasi dengan Dokter Spesialis Saraf (Sp.S).,saraf
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa stroke dan juga epilepsi.",Keluhan ini termasuk dalam kategori Ilmu Penyakit Saraf. Anda disarankan berkonsultasi dengan Dokter Spesialis Saraf (Sp.S).,saraf
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa stroke, epilepsi dan juga migrain.",Keluhan ini termasuk dalam kategori Ilmu Penyakit Saraf. Anda disarankan berkonsultasi dengan Dokter Spesialis Saraf (Sp.S).,saraf
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa migrain dan juga epilepsi.",Keluhan ini termasuk dalam kategori Ilmu Penyakit Saraf. Anda disarankan berkonsultasi dengan Dokter Spesialis Saraf (Sp.S).,saraf
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa diabetes dan juga hipertensi.",Keluhan ini termasuk dalam kategori Penyakit Dalam. Anda disarankan berkonsultasi dengan Dokter Spesialis Penyakit Dalam (Sp.PD).,penyakit_dalam
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa hipertensi dan juga infeksi.",Keluhan ini termasuk dalam kategori Penyakit Dalam. Anda disarankan berkonsultasi dengan Dokter Spesialis Penyakit Dalam (Sp.PD).,penyakit_dalam
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa hipertensi dan juga diabetes.",Keluhan ini termasuk dalam kategori Penyakit Dalam. Anda disarankan berkonsultasi dengan Dokter Spesialis Penyakit Dalam (Sp.PD).,penyakit_dalam
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa hipertensi, infeksi dan juga diabetes.",Keluhan ini termasuk dalam kategori Penyakit Dalam. Anda disarankan berkonsultasi dengan Dokter Spesialis Penyakit Dalam (Sp.PD).,penyakit_dalam
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa diabetes, infeksi dan juga hipertensi.",Keluhan ini termasuk dalam kategori Penyakit Dalam. Anda disarankan berkonsultasi dengan Dokter Spesialis Penyakit Dalam (Sp.PD).,penyakit_dalam
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa infeksi, diabetes dan juga hipertensi.",Keluhan ini termasuk dalam kategori Penyakit Dalam. Anda disarankan berkonsultasi dengan Dokter Spesialis Penyakit Dalam (Sp.PD).,penyakit_dalam
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa infeksi dan juga hipertensi.",Keluhan ini termasuk dalam kategori Penyakit Dalam. Anda disarankan berkonsultasi dengan Dokter Spesialis Penyakit Dalam (Sp.PD).,penyakit_dalam
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa maag, hepatitis dan juga GERD.",Keluhan ini termasuk dalam kategori Gastroenterologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KGEH.,gastroenterologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa GERD, hepatitis dan juga maag.",Keluhan ini termasuk dalam kategori Gastroenterologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KGEH.,gastroenterologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa maag dan juga GERD.",Keluhan ini termasuk dalam kategori Gastroenterologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KGEH.,gastroenterologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa hepatitis, maag dan juga GERD.",Keluhan ini termasuk dalam kategori Gastroenterologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KGEH.,gastroenterologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa GERD dan juga hepatitis.",Keluhan ini termasuk dalam kategori Gastroenterologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KGEH.,gastroenterologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa maag, GERD dan juga hepatitis.",Keluhan ini termasuk dalam kategori Gastroenterologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KGEH.,gastroenterologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa alergi, autoimun dan juga asma.",Keluhan ini termasuk dalam kategori Alergi & Imunologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KAI.,alergi_imunologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa asma dan juga autoimun.",Keluhan ini termasuk dalam kategori Alergi & Imunologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KAI.,alergi_imunologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa alergi dan juga autoimun.",Keluhan ini termasuk dalam kategori Alergi & Imunologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KAI.,alergi_imunologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa asma, alergi dan juga autoimun.",Keluhan ini termasuk dalam kategori Alergi & Imunologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KAI.,alergi_imunologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa asma dan juga alergi.",Keluhan ini termasuk dalam kategori Alergi & Imunologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KAI.,alergi_imunologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa autoimun dan juga asma.",Keluhan ini termasuk dalam kategori Alergi & Imunologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KAI.,alergi_imunologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa asma, autoimun dan juga alergi.",Keluhan ini termasuk dalam kategori Alergi & Imunologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KAI.,alergi_imunologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa diabetes, tiroid dan juga hormon.",Keluhan ini termasuk dalam kategori Endokrinologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KEMD.,endokrinologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tiroid dan juga hormon.",Keluhan ini termasuk dalam kategori Endokrinologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KEMD.,endokrinologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tiroid, hormon dan juga diabetes.",Keluhan ini termasuk dalam kategori Endokrinologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KEMD.,endokrinologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa hormon dan juga tiroid.",Keluhan ini termasuk dalam kategori Endokrinologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KEMD.,endokrinologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa diabetes, hormon dan juga tiroid.",Keluhan ini termasuk dalam kategori Endokrinologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KEMD.,endokrinologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tiroid dan juga diabetes.",Keluhan ini termasuk dalam kategori Endokrinologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KEMD.,endokrinologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa hormon, diabetes dan juga tiroid.",Keluhan ini termasuk dalam kategori Endokrinologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KEMD.,endokrinologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa hormon dan juga diabetes.",Keluhan ini termasuk dalam kategori Endokrinologi. Anda disarankan berkonsultasi dengan Dokter Sp.PD-KEMD.,endokrinologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa prostat dan juga batu ginjal.",Keluhan ini termasuk dalam kategori Urologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Urologi (Sp.U).,urologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa batu ginjal dan juga prostat.",Keluhan ini termasuk dalam kategori Urologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Urologi (Sp.U).,urologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa TB paru dan juga pneumonia.",Keluhan ini termasuk dalam kategori Pulmonologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Paru (Sp.P).,pulmonologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa TB paru dan juga sesak.",Keluhan ini termasuk dalam kategori Pulmonologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Paru (Sp.P).,pulmonologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa TB paru, pneumonia dan juga sesak.",Keluhan ini termasuk dalam kategori Pulmonologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Paru (Sp.P).,pulmonologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa sesak, TB paru dan juga pneumonia.",Keluhan ini termasuk dalam kategori Pulmonologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Paru (Sp.P).,pulmonologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa pneumonia dan juga TB paru.",Keluhan ini termasuk dalam kategori Pulmonologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Paru (Sp.P).,pulmonologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa sesak, pneumonia dan juga TB paru.",Keluhan ini termasuk dalam kategori Pulmonologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Paru (Sp.P).,pulmonologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa demam anak dan juga vaksinasi.",Keluhan ini termasuk dalam kategori Pediatri. Anda disarankan berkonsultasi dengan Dokter Spesialis Anak (Sp.A).,pediatri
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa vaksinasi dan juga demam anak.",Keluhan ini termasuk dalam kategori Pediatri. Anda disarankan berkonsultasi dengan Dokter Spesialis Anak (Sp.A).,pediatri
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa demensia dan juga tremor.",Keluhan ini termasuk dalam kategori Neurologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Neurologi (Sp.N).,neurologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tremor, kejang dan juga demensia.",Keluhan ini termasuk dalam kategori Neurologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Neurologi (Sp.N).,neurologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa kejang dan juga tremor.",Keluhan ini termasuk dalam kategori Neurologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Neurologi (Sp.N).,neurologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tremor dan juga kejang.",Keluhan ini termasuk dalam kategori Neurologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Neurologi (Sp.N).,neurologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tremor, demensia dan juga kejang.",Keluhan ini termasuk dalam kategori Neurologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Neurologi (Sp.N).,neurologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tremor dan juga demensia.",Keluhan ini termasuk dalam kategori Neurologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Neurologi (Sp.N).,neurologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa demensia, kejang dan juga tremor.",Keluhan ini termasuk dalam kategori Neurologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Neurologi (Sp.N).,neurologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa menstruasi dan juga kehamilan.",Keluhan ini termasuk dalam kategori Obstetri & Ginekologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Obsgin (Sp.OG).,obsgyn
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa kehamilan dan juga menstruasi.",Keluhan ini termasuk dalam kategori Obstetri & Ginekologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Obsgin (Sp.OG).,obsgyn
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa infeksi kulit dan juga eksim.",Keluhan ini termasuk dalam kategori Dermatologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Kulit (Sp.KK).,dermatologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa jerawat dan juga infeksi kulit.",Keluhan ini termasuk dalam kategori Dermatologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Kulit (Sp.KK).,dermatologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa jerawat, infeksi kulit dan juga eksim.",Keluhan ini termasuk dalam kategori Dermatologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Kulit (Sp.KK).,dermatologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa eksim dan juga jerawat.",Keluhan ini termasuk dalam kategori Dermatologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Kulit (Sp.KK).,dermatologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa jerawat, eksim dan juga infeksi kulit.",Keluhan ini termasuk dalam kategori Dermatologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Kulit (Sp.KK).,dermatologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa infeksi kulit dan juga jerawat.",Keluhan ini termasuk dalam kategori Dermatologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Kulit (Sp.KK).,dermatologi
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa ereksi dan juga infertilitas pria.",Keluhan ini termasuk dalam kategori Andrologi. Anda disarankan berkonsultasi dengan Dokter Spesialis Andrologi (Sp.And).,andrologi
