Nama Obat,Deskripsi Obat,Peringatan Sebelum Mengonsumsi Obat,Dosis dan Aturan Pakai Obat,Efek Samping dan Bahaya Obat,Penyakit sesuai dengan obat,Merek Dagang
Isoflurane,Isoflurane adalah obat bius untuk membuat pasien tidur dan tidak merasakan sakit selama prosedur operasi. Isoflurane hanya bisa diberikan oleh dokter anestesi atau petugas medis di bawah pengawasan dokter.,"Peringatan Sebelum Menggunakan Isoflurane Ada hal-hal yang perlu Anda perhatikan sebelum menjalani prosedur bius total dengan isoflurane, yaitu: Beri tahu dokter tentang riwayat alergi yang Anda miliki. Isoflurane tidak boleh diberikan kepada orang yang alergi terhadap obat ini. Informasikan kepada dokter jika pernah menderita hipertermia maligna atau gangguan fungsi hati setelah menggunakan isoflurane maupun obat bius hirup lain. Isoflurane tidak boleh diberikan kepada orang yang pernah mengalami kondisi tersebut. Diskusikan dengan dokter mengenai penggunaan isoflurane jika sedang atau pernah mengalami penyakit jantung koroner, hiperkalemia, tekanan darah rendah, penyakit ginjal, atau penyakit paru-paru. Beri tahu dokter jika Anda atau keluarga pernah menderita gangguan irama jantung (aritmia), kelainan hasil tes EKG, maupun henti jantung mendadak pada usia muda. Beri tahu dokter jika sedang hamil, berencana untuk hamil, atau sedang menyusui. Jangan mengemudi atau melakukan aktivitas yang memerlukan kewaspadaan setidaknya sampai 2 hari setelah pulih dari bius total dengan isoflurane. Penggunaan isoflurane bisa menimbulkan keluhan lemas dan kantuk.","Dosis dan Aturan Pakai Isoflurane Dosis isoflurane yang diberikan dokter tergantung pada kondisi pasien dan prosedur medis yang akan dilakukan. Isoflurane bisa diberikan dengan campuran gas oksigen atau nitrogen. Berikut adalah dosis umum isoflurane untuk orang dewasa: Dosis untuk memulai anestesi: 0,5–3%. Efek bius mulai terasa dalam 7–10 menit setelah pemberian isoflurane.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Isoflurane untuk ibu menyusui Isoflurane dapat digunakan selama masa menyusui. Masa kerja obat isoflurane tergolong pendek dan tidak terserap oleh bayi. Ibu dapat kembali menyusui segera setelah pulih dari pembiusan.",Anestesi umum (inhalasi),"isoflurane Aerrane, Forane, Isoflurane, Isonest, Isorane, Isothesia, Terrel, Terrel Isoflurane "
Isocarboxazid,"Isocarboxazid adalah obat untuk meredakan gejala depresi, termasuk kecemasan, gangguan panik, atau ketakutan yang berlebihan. Isocarboxazid tidak boleh digunakan sembarangan dan harus sesuai resep dokter.","Peringatan sebelum Mengonsumsi Isocarboxazid Isocarboxazid hanya boleh digunakan sesuai resep dokter. Berikut adalah beberapa hal yang perlu Anda perhatikan sebelum mengonsumsi isocarboxazid: Beri tahu dokter tentang riwayat alergi yang Anda miliki. Isocarboxazid tidak boleh diberikan kepada pasien yang alergi terhadap obat ini. Beri tahu dokter, jika Anda pernah atau sedang menderita pheochromocytoma, stroke, penyakit jantung koroner, gagal jantung, diabetes, epilepsi, hipertensi, penyakit tiroid, atau gangguan mental lain, seperti skizofrenia atau gangguan bipolar. Beri tahu dokter, jika dalam 14 hari terakhir Anda baru saja menggunakan obat golongan MAOI, seperti phenelzine. Isocarboxazid tidak boleh digunakan, jika Anda sedang atau baru saja menggunakan obat tersebut. Beri tahu dokter, jika Anda sedang menggunakan obat, suplemen, atau produk herbal dalam 5 minggu terakhir. Hindari mengemudikan kendaraan atau melakukan kegiatan yang membutuhkan kewaspadaan selama menjalani pengobatan dengan isocarboxazid, karena obat ini bisa menyebabkan pusing berputar dan kantuk. Jangan mengonsumsi minuman beralkohol atau makanan yang mengandung kadar tyramine yang tinggi, seperti keju dan alpukat, selama Anda menjalani pengobatan dengan isocarboxazid karena akan meningkatkan risiko terjadinya efek samping. Beri tahu dokter bahwa Anda sedang menjalani pengobatan dengan isocarboxazid sebelum menjalani pemeriksaan laboratorium atau tindakan medis tertentu. Beri tahu dokter, jika Anda sedang hamil, menyusui, atau merencanakan kehamilan.","dosis setelah mengonsumsi isocarboxazid. Dosis dan Aturan Pakai Isocarboxazid Dosis isocarboxazid berbeda-beda pada tiap pasien. Dokter akan menentukan dosis sesuai usia, kondisi kesehatan, dan respons tubuh pasien. Berikut adalah penjelasannya: Tujuan: Meredakan gejala depresi Dewasa: Dosis awal adalah 30 mg per hari. Dosis dapat ditambahkan hingga 60 mg setelah 4 minggu. Lansia: 5–10 mg per hari.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada wanita hamil.Obat hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Belum diketahui apakah isocarboxazid bisa terserap ke dalam ASI atau tidak. Bila Anda sedang menyusui, jangan menggunakan obat ini tanpa berkonsultasi dulu dengan dokter.",Depresi (MAOI),isocarboxazid 
Irvask,Irvask adalah obat untuk mengatasi tekanan darah tinggi. Obat yang tersedia dalam bentuk kaplet ini juga bisa dimanfaatkan untuk menangani kerusakan ginjal yang disebabkan oleh diabetes tipe 2.,"Peringatan sebelum Mengonsumsi Irvask Berikut ini adalah beberapa hal yang perlu Anda perhatikan sebelum menggunakan Irvask: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Irvask tidak boleh digunakan oleh orang yang alergi terhadap irbesartan. Hindari penggunaan irbesartan jika Anda menderita diabetes atau sedang menjalani terapi dengan aliskiren. Informasikan kepada dokter jika Anda pernah atau sedang menderita penyakit hati, angioedema, kelainan katup jantung, gagal jantung kongestif, hiperkalemia, hiponatremia, penyakit ginjal, atau hipotensi. Jangan lupa untuk memberi tahu dokter jika Anda baru saja menjalani prosedur transplantasi ginjal atau sedang menjalani tindakan cuci darah. Pastikan untuk memberi tahu dokter jika Anda sedang menjalani diet rendah garam dan menggunakan pengganti garam yang mengandung kalium. Diskusikan dengan dokter terkait penggunaan Irvask jika Anda sedang hamil, berencana untuk hamil, atau sedang menyusui. Beri tahu dokter jika Anda sedang menggunakan obat lain, termasuk suplemen dan produk herbal.","Dosis dan Aturan Pakai Irvask Dosis Irvask yang diberikan dokter tergantung pada kondisi dan usia pasien. Berikut ini adalah dosis umum Irvask untuk mengobati hipertensi dan nefropati diabetik: Kondisi: Hipertensi Dewasa: 150 mg, 1 kali sehari. Dosis dapat ditingkatkan menjadi 300 mg per hari jika diperlukan. Tensira dapat digunakan sebagai obat tunggal atau digabung dengan obat antihipertensi lainnya. Kondisi: Nefropati diabetik Dewasa: Dosis awal 150 mg, sekali sehari. Dosis dapat ditingkatkan menjadi 300 mg per hari jika diperlukan.",efek samping. Jangan langsung mengemudi atau melakukan aktivitas lain yang memerlukan kewaspadaan setelah mengonsumsi Irvask. Obat ini dapat menyebabkan pusing dan sakit kepala. Segera temui dokter jika terjadi reaksi alergi obat setelah mengonsumsi Irvask.,Hipertensi,Irvask
Irtan,Irtan adalah obat yang berguna untuk mengatasi tekanan darah tinggi atau hipertensi. Obat yang mengandung bahan aktif irbesartan ini juga bisa digunakan untuk menangani penyakit ginjal yang disebabkan oleh diabetes tipe 2 (nefropati diabetik).,"Peringatan sebelum Menggunakan Irtan  Berikut ini adalah beberapa hal yang perlu Anda perhatikan sebelum menggunakan Irtan: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Irtan tidak boleh digunakan oleh orang yang alergi terhadap irbesartan. Hindari penggunaan obat dengan kandungan irbesartan jika Anda menderita diabetes atau sedang menjalani terapi dengan aliskiren. Informasikan kepada dokter jika Anda pernah atau sedang menderita penyakit hati, angioedema, kelainan katup jantung, gagal jantung kongestif, hiperkalemia, hiponatremia, penyakit ginjal, atau hipotensi. Pastikan untuk memberi tahu dokter jika Anda baru saja menjalani prosedur transplantasi ginjal atau sedang menjalani tindakan cuci darah. Beri tahu dokter jika  Anda sedang menjalani diet rendah garam dan memakai pengganti garam yang mengandung kalium. Diskusikan dengan dokter terkait penggunaan Irtan jika Anda sedang hamil, berencana untuk hamil, atau sedang menyusui. Konsultasikan dengan dokter perihal penggunaan Irtan jika Anda sedang menggunakan obat lain, termasuk suplemen dan produk herbal.","Dosis dan Aturan Pakai Irtan Berikut ini adalah dosis umum penggunaan Irtan berdasarkan kondisi dan usia pasien: Kondisi: Hipertensi Dewasa: 150 mg, 1 kali sehari. Dosis dapat ditingkatkan menjadi 300 mg per hari jika diperlukan. Tensira dapat digunakan sebagai obat tunggal atau digabung dengan obat antihipertensi lainnya. Kondisi: Nefropati diabetik Dewasa: Dosis awal 150 mg, sekali sehari. Dosis dapat ditingkatkan menjadi 300 mg per hari jika diperlukan.",efek samping. Jangan langsung mengemudi atau melakukan aktivitas lain yang memerlukan kewaspadaan setelah mengonsumsi Irtan. Obat ini dapat menyebabkan pusing dan sakit kepala. Segera temui dokter jika Anda mengalami reaksi alergi obat atau efek samping serius setelah menggunakan Irtan.,Kondisi tertentu (perlu cek komposisi),Irtan
Irinotecan,Irinotecan adalah obat untuk menangani kanker usus atau kanker pankreas yang sudah menyebar (metastasis). Obat ini bisa digunakan sebagai terapi tunggal atau dikombinasikan dengan obat antikanker lain.,"Peringatan sebelum Menggunakan Irinotecan Irinotecan suntik hanya boleh diberikan oleh dokter atau petugas medis di bawah pengawasan dokter. Berikut adalah hal-hal yang harus Anda perhatikan sebelum menggunakan irinotecan: Beri tahu dokter tentang riwayat alergi yang Anda miliki. Irinotecan tidak boleh diberikan kepada pasien yang alergi terhadap obat ini. Informasikan kepada dokter jika Anda pernah atau sedang menderita penyakit hati, penyakit ginjal, penyakit paru-paru, penyakit pada saluran pencernaan, sumbatan usus, sindrom Gilbert, atau kelainan darah termasuk anemia, neutropenia, atau trombositopenia. Pastikan untuk memberi tahu dokter jika Anda sedang menderita diabetes atau intoleransi fruktosa, karena beberapa produk irinotecan mengandung sorbitol di dalamnya. Sampaikan kepada dokter jika Anda sedang menggunakan obat, suplemen, produk herbal, atau sedang menjalani radioterapi. Beri tahu dokter jika Anda sedang hamil, menyusui, atau merencanakan kehamilan. Gunakan alat kontrasepsi yang efektif selama menjalani pengobatan dengan irinotecan hingga 6 bulan sesudahnya untuk mencegah kehamilan. Jangan menyusui bayi selama pengobatan hingga 7 hari setelah terapi terakhir dengan irinotecan selesai. Konsultasikan dengan dokter jika Anda berencana melakukan vaksinasi dengan vaksin hidup selama menjalani pengobatan dengan irinotecan. Beri tahu dokter jika Anda berencana untuk melakukan operasi atau tindakan medis tertentu selama menjalani pengobatan dengan irinotecan. Hindari kontak erat dengan penderita penyakit infeksi yang mudah menular selama menjalani pengobatan dengan irinotecan, karena bisa meningkatkan risiko Anda untuk tertular. Jangan mengemudikan kendaraan atau melakukan aktivitas yang membutuhkan kewaspadaan setelah menggunakan irinotecan, karena obat ini bisa menyebabkan pusing dan pandangan kabur.","dosis setelah menggunakan irinotecan. Dosis dan Aturan Pakai Irinotecan Irinotecan akan disuntikkan langsung oleh dokter atau petugas medis di bawah pengawasan dokter. Berikut adalah dosis irinotecan untuk orang dewasa yang dibagi berdasarkan kondisi yang akan ditangani: Kondisi: Kanker kolorektal yang sudah menyebar (metastasis) Dosis sebagai terapi tunggal adalah 350 mg/m2 luas permukaan tubuh (LPT) yang diberikan melalui infus selama 30–90 menit, tiap 3 minggu. Jika dikombinasikan dengan fluorouracil dan folinic acid, dosisnya adalah 180 mg/m2 LPT yang diberikan melalui ingus selama 30–90 menit, tiap 2 minggu. Kondisi: Kanker pankreas yang bermetastasis Dosisnya adalah 80 mg/m2 LPT yang diberikan melalui infus selama 90 menit, tiap 2 minggu. Obat akan dikombinasikan dengan fluorouracil dan leucovorin.",,Kanker kolorektal,"irinotecan Actatecan, Irinol, Irinotecan Hydrochloride, Kabitec "
Iretensa,Iretensa bermanfaat untuk menurunkan tekanan darah pada penderita hipertensi. Obat ini juga dapat digunakan untuk menangani penyakit ginjal pada penderita hipertensi atau diabetes tipe 2.,"Peringatan sebelum Mengonsumsi Iretensa Sebelum mengonsumsi Iretensa, perhatikanlah beberapa hal berikut: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Iretensa tidak boleh digunakan oleh orang yang alergi terhadap kandungan di dalam obat ini. Jangan menggunakan Iretensa jika Anda merupakan penderita diabetes atau penyakit ginjal yang sedang menjalani pengobatan dengan aliskiren. Konsultasikan dengan dokter mengenai penggunaan obat ini jika Anda sedang menjalani diet rendah garam atau menjalani cuci darah. Informasikan kepada dokter jika Anda pernah atau sedang menderita gagal jantung kongestif, penyakit jantung, kelainan katup jantung, tekanan darah rendah, angioedema, hiperkalemia, atau hiponatremia. Diskusikan dengan dokter terkait penggunaan Iretensa jika Anda sedang hamil, menyusui, mungkin hamil, atau merencanakan kehamilan. Informasikan kepada dokter jika Anda sedang menggunakan obat lain, termasuk suplemen atau produk herbal.","Dosis dan Aturan Pakai Iretensa Berikut ini adalah dosis umum penggunaan Iretensa berdasarkan kondisi pasien: Kondisi: Hipertensi Dewasa: 150 mg, sekali sehari. Dosis dapat ditingkatkan menjadi 300 mg per hari jika diperlukan. Iretensa dapat digunakan sebagai obat tunggal atau digabung dengan obat antihipertensi lainnya Lansia >75 tahun: 75 mg, sekali sehari. Kondisi: Penyakit ginjal akibat hipertensi atau diabetes tipe 2 Dewasa: dosis awal 150 mg, sekali sehari. Jika diperlukan, dosis dapat ditingkatkan menjadi 300 mg per hari.",efek samping. Jangan langsung mengemudi atau melakukan aktivitas lain yang memerlukan kewaspadaan setelah mengonsumsi Iretensa. Obat ini dapat menyebabkan pusing. Segera temui dokter jika mengalami reaksi alergi obat setelah menggunakan Iretensa.,Hipertensi,Iretensa
Iremax,"Iremax adalah obat untuk mengurangi nyeri sedang hingga berat. Obat ini bisa digunakan untuk meredakan berbagai jenis nyeri, seperti nyeri otot, nyeri haid, sakit gigi, atau nyeri setelah operasi.","Peringatan sebelum Mengonsumsi Iremax Hal-hal yang perlu Anda perhatikan sebelum mengonsumsi Iremax, antara lain: Jangan mengonsumsi Iremax jika Anda alergi terhadap kandungan obat ini atau obat antiinflamasi nonsteroid (OAINS) lain, terutama aspirin. Diskusikan dengan dokter mengenai riwayat alergi yang Anda miliki. Jangan mengonsumsi Iremax jika Anda sedang menderita tukak lambung, ulkus duodenum, polip hidung, atau gangguan fungsi hati. Hindari konsumsi Iremax jika Anda baru saja menjalani operasi bypass jantung. Konsultasikan ke dokter mengenai penggunaan Iremax jika Anda sedang atau pernah menderita asma, penyakit jantung, hipertensi, lupus, maupun gangguan pencernaan, seperti penyakit asam lambung (GERD), serta ulkus maupun perdarahan di lambung atau usus. Konsultasikan ke dokter mengenai penggunaan Iremax jika Anda sedang hamil, menyusui, atau sedang merencanakan kehamilan. Diskusikan dengan dokter mengenai penggunaan Iremax jika Anda sedang menggunakan obat lain, termasuk suplemen dan produk herbal.","dosis yang dianjurkan dan aturan pakainya, Iremax aman bagi ibu menyusui dan bayi yang menyusu.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Usia kehamilan ≥20 minggu Kategori D: Ada bukti bahwa kandungan ibuprofen berisiko terhadap janin manusia, tetapi besarnya manfaat yang diperoleh mungkin lebih besar daripada risikonya, misalnya untuk mengatasi situasi yang mengancam jiwa.",Kondisi tertentu (perlu cek komposisi),Iremax
Irbesartan,"Irbesartan adalah obat untuk mengatasi tekanan darah tinggi (hipertensi). Dalam penggunaannya, irbesartan dapat dikonsumsi sebagai terapi tunggal atau dikombinasikan dengan obat lainnya.","Peringatan Sebelum Mengonsumsi Irbesartan Irbesartan hanya boleh digunakan sesuai dengan resep dokter. Berikut adalah beberapa hal yang perlu Anda perhatikan sebelum mengonsumsi irbesartan: Jangan mengonsumsi irbesartan jika memiliki alergi terhadap obat ini. Beri tahu dokter jika menderita diabetes dan mengonsumsi aliskiren. Irbesartan tidak boleh digunakan dengan obat tersebut. Beri tahu dokter jika sedang hamil, mungkin hamil, menyusui, atau merencanakan kehamilan. Gunakan alat kontrasepsi yang efektif selama menggunakan obat ini. Beri tahu dokter jika pernah atau sedang menderita penyakit hati, penyakit ginjal, kelainan katup jantung, gagal jantung, kardiomiopati, atau gangguan elektrolit, terutama hiperkalemia. Beri tahu dokter jika Anda sedang mengalami kondisi yang meningkatkan risiko terjadinya dehidrasi, seperti muntah-muntah dan diare, baik sebelum maupun saat Anda mengonsumsi irbesartan. Beri tahu dokter jika Anda sedang menjalani diet rendah garam atau menjalani cuci darah. Jangan langsung mengemudikan kendaraan atau melakukan aktivitas yang membutuhkan kewaspadaan selama menjalani pengobatan dengan irbesartan, karena obat ini dapat menyebabkan pusing.","dosis, setelah mengonsumsi irbesartan. Dosis dan Aturan Pakai Irbesartan Dosis irbesartan yang diberikan oleh dokter tergantung pada kondisi dan usia pasien. Berikut adalah penjelasannya: Kondisi: Hipertensi Dewasa: 150 mg, sekali sehari. Jika diperlukan, dosis dapat ditingkatkan menjadi 300 mg per hari. Lansia usia >75 tahun atau pasien cuci darah: 75 mg, sekali sehari. Kondisi: Nefropati diabetik Dewasa: dosis awal 150 mg, sekali sehari. Jika diperlukan, dosis dapat ditingkatkan menjadi 300 mg per hari.",efek samping. Beri tahu dokter jika kesulitan mengurangi konsumsi minuman beralkohol.,Hipertensi  nefropati diabetik,"irbesartan Aprovel, Betavein 300, Cardiocom, Coaprovel, CoIrvell, Iretensa, Irbedox, Irbesartan, Irbesal 300, Irbeten 150, Irvell, Irtan, Irtan Plus, Irvask, Opisar, Tensira "
Ipratropium,"Ipratropium atau ipratropium bromide adalah obat untuk meredakan dan mencegah gejala karena penyempitan saluran pernapasan (bronkospasme), seperti mengi atau sesak napas, akibat penyakit paru obstruktif kronik (PPOK). Ipratropium termasuk ke dalam obat golongan bronkodilator.","Peringatan sebelum Menggunakan Ipratropium Ipratropium tidak boleh digunakan sembarangan. Berikut ini adalah hal-hal yang perlu Anda perhatikan sebelum menggunakan ipratropium: Jangan menggunakan ipratropium jika Anda alergi terhadap obat ini. Beri tahu dokter jika Anda pernah mengalami alergi setelah menggunakan obat yang sejenis, seperti tiotropium. Beri tahu dokter jika Anda pernah atau sedang menderita glaukoma, sumbatan pada kandung kemih, pembesaran prostat, myasthenia gravis, atau fibrosis kistik. Beri tahu dokter jika Anda sedang hamil, merencanakan kehamilan, atau sedang menyusui. Jangan mengemudikan kendaraan atau melakukan kegiatan yang membutuhkan kewaspadaan selama menjalani pengobatan dengan ipratropium, karena obat ini dapat menyebabkan pusing dan penglihatan kabur. Beri tahu dokter jika Anda sedang mengonsumsi obat, suplemen, atau produk herbal tertentu. Beri tahu dokter bahwa Anda sedang menggunakan ipratropium jika akan menjalani tindakan operasi, termasuk operasi gigi.","dosis setelah menggunakan ipratropium. Dosis dan Aturan Pakai Ipratropium Ipratropium akan diberikan oleh dokter. Dosisnya akan disesuaikan dengan bentuk sediaan obat dan usia pasien. Secara umum, berikut dosis ipratropium untuk meredakan gejala penyempitan saluran pernapasan atau bronkospasme: Bentuk aerosol (inhaler)  Dewasa dan anak usia >12 tahun: 20–40 mcg, 3–4 kali sehari Anak usia 6–12 tahun: 20–40 mcg, 3 kali sehari Anak usia <6 tahun: 20 mcg, 3 kali sehari Bentuk larutan inhalasi dengan nebulizer Dewasa dan anak usia >12 tahun: 250–500 mcg, 3–4 kali sehari Anak usia 6–12 tahun: 250 mcg, dosis dapat diulang hingga maksimal 1.000 mcg atau 1 mg per hari Anak usia <6 tahun: 125–250 mcg, 4 kali sehari, hingga maksimal 1.000 mcg atau 1 mg per hari Pada pasien dengan penyakit paru obstruktif kronik (PPOK) dengan gejala bronkospasme berat, dokter akan memberikan ipratropium bentuk larutan inhalasi dengan menggunakan nebulizer, yaitu alat mengubah larutan obat menjadi bentuk uap dan akan dihirup dengan menggunakan masker khusus.",,Asma  PPOK (bronkodilator),"ipratropium Atrovent, Combivent, Ipratropium Bromide, Lasalcom, Midatro "
Inzana,"Inzana adalah obat yang bermanfaat untuk menurunkan panas dan demam, serta meredakan nyeri, seperti sakit kepala atau nyeri otot, pada anak-anak. Obat ini mengandung bahan aktif acetylsalicylic acid atau dikenal juga sebagai aspirin.","Peringatan sebelum Mengonsumsi Inzana Jangan memberikan obat yang mengandung aspirin kepada anak untuk demam atau nyeri yang belum diketahui penyebabnya. Beberapa hal lain yang perlu Anda perhatikan sebelum memberikan Inzana kepada anak adalah: Beri tahu dokter mengenai riwayat alergi yang anak Anda miliki. Inzana tidak boleh digunakan oleh anak-anak yang alergi terhadap kandungan di dalam obat ini. Beri tahu dokter jika anak Anda pernah terserang asma setelah mengonsumsi aspirin atau OAINS lainnya. Informasikan kepada dokter jika anak Anda pernah atau sedang menderita hemofilia, defisiensi vitamin K, trombositopenia, penyakit ginjal, penyakit hati, sakit maag, polip hidung, atau defisiensi G6PD. Beri tahu dokter bahwa anak Anda sedang mengonsumsi Inzana jika direncanakan untuk menjalani tindakan medis apa pun, termasuk operasi gigi. Konsultasikan ke dokter jika anak Anda sedang minum obat, suplemen, atau produk herbal tertentu.","Dosis dan Aturan Pakai Inzana Berikut ini adalah dosis umum pemakaian Inzana berdasarkan usia anak: Anak usia 1–2 tahun: 1 tablet, 3–4 kali sehari. Anak usia 3–5 tahun: 1 ½–2 tablet, 3–4 kali sehari. Anak usia 6–12 tahun: 2 ½–5 tablet, 3–4 kali sehari.","Efek Samping dan Bahaya Inzana Mengingat Inzana mengandung aspirin, ada efek samping yang mungkin terjadi setelah minum obat ini, antara lain: Kantuk Sakit perut Rasa panas di dada (heartburn) Sakit kepala ringan Konsultasikan ke dokter jika keluhan tersebut tidak kunjung reda atau justru memburuk.",Demam  nyeri,Inzana
Inza,"Inza adalah obat yang digunakan untuk meredakan gejala flu, seperti hidung tersumbat, bersin-bersin, sakit kepala, dan demam. Inza tersedia dalam bentuk kaplet.","Peringatan Sebelum Mengonsumsi Inza Berikut ini adalah beberapa hal yang perlu Anda perhatikan sebelum mengonsumsi Inza: Jangan mengonsumsi Inza jika Anda alergi terhadap paracetamol, pseudoephedrine, atau chlorphenamine maleate. Konsultasikan dengan dokter jika Anda pernah atau sedang menderita penyakit ginjal, penyakit liver, diabetes, hipertiroidisme, diabetes, glaukoma, hipertensi, penyakit jantung, datau pembesaran prostat. Konsultasikan dengan dokter sebelum Anda memberikan Inza kepada anak-anak, terutama anak usia <2 tahun. Konsultasikan dengan dokter perihal penggunaan Inza jika Anda sedang menjalani terapi dengan suplemen, obat herbal, atau obat tertentu. Kandungan pseudoefedrin dalam Inza tidak boleh dikonsumsi bersama obat golongan monoamine oxidase inhibitors (MAOI), seperti isocarboxazid. Jangan mengonsumsi minuman beralkohol selama menjalani pengobatan dengan Inza, karena dapat meningkatkan risiko terjadinya kerusakan hati. Jangan langsung mengemudi atau melakukan aktivitas lain yang memerlukan kewaspadaan setelah mengonsumsi Inza, karena obat ini bisa menyebabkan pusing atau kantuk. Kandungan pseudoefedrin dalam inza tidak disarankan untuk dikonsumsi oleh ibu hamil. Konsultasikan dengan dokter perihal pemilihan obat untuk flu yang dijual bebas di apotek.","Dosis dan Aturan Pakai Inza Berikut adalah rincian dosis umum pemakaian Inza yang dianjurkan: Dewasa: 1 kaplet, 3 kali sehari. Anak usia 2–6 tahun: ¼ kaplet, 3 kali sehari. Anak usia 6–12 tahun: ½ kaplet, 3 kali sehari.",efek samping lebih serius setelah mengonsumsi Inza.,Gejala flu (demam  batuk  pilek),Inza
Inxilon,"Inxilon adalah obat untuk meredakan peradangan. Obat ini dapat digunakan untuk mengatasi radang sendi, lupus, radang usus, asma, psoriasis, hingga multiple sclerosis.","Peringatan sebelum Menggunakan Inxilon Sebelum mengonsumsi Inxilon, perhatikanlah beberapa hal berikut: Beri tahu dokter tentang riwayat alergi yang Anda miliki. Inxilon tidak boleh digunakan oleh orang yang alergi terhadap methylprednisolone. Jangan menggunakan Inxilon jika Anda sedang menderita infeksi jamur. Informasikan kepada dokter jika Anda pernah atau sedang menderita hipertensi, penyakit tiroid, herpes, penyakit hati, diabetes, myasthenia gravis, kejang, penyakit jantung, tuberkulosis, penyakit ginjal, osteoporosis, tukak lambung, glaukoma, atau depresi. Jangan mengonsumsi minuman beralkohol setelah minum Inxilon karena dapat meningkatkan risiko perdarahan saluran pencernaan. Pastikan untuk memberi tahu dokter bahwa Anda sedang menggunakan Inxilon sebelum menjalani vaksinasi, operasi, atau prosedur medis apa pun. Hindari kontak erat dengan penderita infeksi yang mudah menular, seperti flu, cacar air, atau campak, jika Anda menjalani pengobatan jangka panjang dengan Inxilon. Obat ini dapat membuat Anda mudah tertular infeksi. Diskusikan dengan dokter mengenai penggunaan Inxilon jika Anda sedang menyusui, hamil, atau sedang merencanakan kehamilan. Informasikan kepada dokter jika Anda sedang menggunakan obat lain, termasuk suplemen dan produk herbal.",Dosis dan Aturan Pakai Inxilon Berikut ini adalah dosis umum penggunaan Inxilon untuk mengatasi peradangan berdasarkan usia pasien: Dewasa: 4–48 mg per hari. Anak-anak: Dosis ditentukan oleh dokter berdasarkan berat badan anak.,"efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Inxilon untuk ibu menyusui Inxilon umumnya aman digunakan oleh ibu menyusui selama digunakan sesuai anjuran dokter.",Kondisi tertentu (perlu cek komposisi),Inxilon
Intunal,"Intunal adalah obat yang bermanfaat untuk meredakan gejala flu, seperti demam, sakit kepala, hidung tersumbat, hidung meler, bersin-bersin, atau batuk. Obat ini mengandung kombinasi bahan aktif paracetamol, phenylpropanolamine, dexchlorpheniramine, dextromethorphan, dan guaifenesin.","Peringatan sebelum Mengonsumsi Intunal Sebelum mengonsumsi obat ini, Anda perlu memperhatikan beberapa hal berikut: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Intunal tidak boleh digunakan oleh orang yang alergi terhadap kandungan di dalam obat ini. Konsultasikan dengan dokter jika Anda pernah atau sedang menderita penyakit liver, penyakit ginjal, hipertensi, diabetes, glaukoma, pembesaran prostat, gangguan berkemih, atau penyakit tiroid. Informasikan kepada dokter jika Anda sedang atau baru saja minum obat antidepresan golongan MAOI dalam 14 hari terakhir. Intunal tidak boleh digunakan oleh orang yang sedang menggunakan obat tersebut. Jangan langsung mengemudi atau melakukan aktivitas lain yang memerlukan kewaspadaan setelah mengonsumsi Intunal. Obat ini dapat menyebabkan pusing dan kantuk. Konsultasikan dengan dokter mengenai penggunaan Intunal apabila mengalami batuk yang dahaknya sangat banyak atau jika sebelumnya Anda sudah lama batuk, misalnya akibat merokok, asma, emfisema, atau bronkitis kronis. Diskusikan dengan dokter mengenai penggunaan obat ini jika Anda sedang menyusui, hamil, atau sedang merencanakan kehamilan. Informasikan kepada dokter jika Anda sedang menggunakan obat lain, termasuk suplemen dan produk herbal.","Dosis dan Aturan Pakai Intunal Berikut ini adalah dosis umum penggunaan Intunal berdasarkan varian produknya: Intunal Dewasa dan anak usia >12 tahun: 1 kaplet, 3 kali sehari. Anak usia 6–12 tahun: ½ kaplet, 3 kali sehari. Intunal-F Dewasa dan anak usia >12 tahun: 1 tablet, 3 kali sehari. Anak usia 6–12 tahun: ½ tablet, 3 kali sehari. Intunal sirup Dewasa dan anak usia >12 tahun: 4 sendok takar (20 ml), 3 kali sehari. Anak usia 6–12 tahun: 2 sendok takar (10 ml), 3 kali sehari.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Intunal untuk ibu menyusui Obat ini tidak disarankan pada ibu menyusui karena berisiko menyebabkan efek samping pada bayi.",Gejala flu (demam  batuk  pilek),Intunal
